"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","29.02.2024 09:05","0.05 m","141.04 m³/h","","29.02.2024 09:07"
"Muuli tee","29.02.2024 09:00","0.05 m","136.23 m³/h","","29.02.2024 09:02"
"Muuli tee","29.02.2024 08:55","0.05 m","142 m³/h","","29.02.2024 08:57"
"Muuli tee","29.02.2024 08:50","0.05 m","145.58 m³/h","","29.02.2024 08:52"
"Muuli tee","29.02.2024 08:45","0.05 m","138.57 m³/h","","29.02.2024 08:47"
"Muuli tee","29.02.2024 08:40","0.05 m","146.81 m³/h","","29.02.2024 08:42"
"Muuli tee","29.02.2024 08:35","0.05 m","144.61 m³/h","","29.02.2024 08:37"
"Muuli tee","29.02.2024 08:30","0.05 m","143.24 m³/h","","29.02.2024 08:32"
"Muuli tee","29.02.2024 08:25","0.05 m","139.67 m³/h","","29.02.2024 08:27"
"Muuli tee","29.02.2024 08:20","0.05 m","145.44 m³/h","","29.02.2024 08:22"
"Muuli tee","29.02.2024 08:15","0.05 m","145.85 m³/h","","29.02.2024 08:17"
"Muuli tee","29.02.2024 08:10","0.05 m","143.51 m³/h","","29.02.2024 08:12"
"Muuli tee","29.02.2024 08:05","0.05 m","137.47 m³/h","","29.02.2024 08:07"
"Muuli tee","29.02.2024 08:00","0.05 m","148.19 m³/h","","29.02.2024 08:02"
"Muuli tee","29.02.2024 07:55","0.05 m","153 m³/h","","29.02.2024 07:57"
"Muuli tee","29.02.2024 07:50","0.05 m","138.57 m³/h","","29.02.2024 07:52"
"Muuli tee","29.02.2024 07:45","0.05 m","144.48 m³/h","","29.02.2024 07:47"
"Muuli tee","29.02.2024 07:40","0.05 m","134.86 m³/h","","29.02.2024 07:42"
"Muuli tee","29.02.2024 07:35","0.05 m","149.29 m³/h","","29.02.2024 07:37"
"Muuli tee","29.02.2024 07:30","0.05 m","144.61 m³/h","","29.02.2024 07:32"
"Muuli tee","29.02.2024 07:25","0.05 m","141.04 m³/h","","29.02.2024 07:27"
"Muuli tee","29.02.2024 07:20","0.05 m","143.38 m³/h","","29.02.2024 07:22"
