"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","31.05.2024 02:00","0.02 m","39.37 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:55","0.02 m","40.33 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:50","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:45","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:40","0.02 m","35.11 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:35","0.02 m","35.38 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:30","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:25","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:20","0.02 m","39.09 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:15","0.02 m","35.38 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:10","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:05","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 01:00","0.02 m","36.34 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:55","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:50","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:45","0.02 m","36.48 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:40","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:35","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:30","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:25","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:20","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:15","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:10","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:05","0.02 m","41.84 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 00:00","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","30.05.2024 23:55","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","30.05.2024 23:50","0.02 m","39.09 m³/h","","01.07.2024 16:56"
"Muuli tee","30.05.2024 23:45","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","30.05.2024 23:40","0.02 m","41.84 m³/h","","01.07.2024 16:56"
"Muuli tee","30.05.2024 23:35","0.02 m","40.6 m³/h","","01.07.2024 16:56"
