"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","29.02.2024 09:25","893 μS/cm","201.42 NTU","11.74 mg/L","7.63","29.02.2024 09:27"
"Muuli VKM","29.02.2024 09:20","891 μS/cm","177.76 NTU","11.74 mg/L","7.63","29.02.2024 09:22"
"Muuli VKM","29.02.2024 09:15","889 μS/cm","92.71 NTU","11.75 mg/L","7.63","29.02.2024 09:17"
"Muuli VKM","29.02.2024 09:10","887 μS/cm","491.11 NTU","11.75 mg/L","7.63","29.02.2024 09:12"
"Muuli VKM","29.02.2024 09:05","886 μS/cm","478.45 NTU","11.73 mg/L","7.63","29.02.2024 09:07"
"Muuli VKM","29.02.2024 09:00","885 μS/cm","448.42 NTU","11.75 mg/L","7.6","29.02.2024 09:02"
"Muuli VKM","29.02.2024 08:55","885 μS/cm","449.32 NTU","11.75 mg/L","7.6","29.02.2024 08:57"
"Muuli VKM","29.02.2024 08:50","884 μS/cm","450.11 NTU","11.73 mg/L","7.6","29.02.2024 08:52"
"Muuli VKM","29.02.2024 08:45","884 μS/cm","450.77 NTU","11.72 mg/L","7.6","29.02.2024 08:47"
"Muuli VKM","29.02.2024 08:40","884 μS/cm","451.5 NTU","11.73 mg/L","7.6","29.02.2024 08:42"
"Muuli VKM","29.02.2024 08:35","883 μS/cm","452.29 NTU","11.73 mg/L","7.61","29.02.2024 08:37"
"Muuli VKM","29.02.2024 08:30","883 μS/cm","453.12 NTU","11.74 mg/L","7.61","29.02.2024 08:32"
"Muuli VKM","29.02.2024 08:25","883 μS/cm","454.27 NTU","11.75 mg/L","7.61","29.02.2024 08:27"
"Muuli VKM","29.02.2024 08:20","883 μS/cm","456.02 NTU","11.76 mg/L","7.61","29.02.2024 08:22"
"Muuli VKM","29.02.2024 08:15","882 μS/cm","458.46 NTU","11.77 mg/L","7.61","29.02.2024 08:17"
"Muuli VKM","29.02.2024 08:10","882 μS/cm","461.81 NTU","11.77 mg/L","7.61","29.02.2024 08:12"
"Muuli VKM","29.02.2024 08:05","882 μS/cm","463.56 NTU","11.73 mg/L","7.61","29.02.2024 08:07"
"Muuli VKM","29.02.2024 08:00","882 μS/cm","500.26 NTU","11.77 mg/L","7.61","29.02.2024 08:02"
"Muuli VKM","29.02.2024 07:55","881 μS/cm","505.59 NTU","11.75 mg/L","7.61","29.02.2024 07:57"
"Muuli VKM","29.02.2024 07:50","881 μS/cm","512.19 NTU","11.76 mg/L","7.61","29.02.2024 07:52"
"Muuli VKM","29.02.2024 07:45","882 μS/cm","520.48 NTU","11.72 mg/L","7.62","29.02.2024 07:47"
"Muuli VKM","29.02.2024 07:40","882 μS/cm","531.28 NTU","11.72 mg/L","7.62","29.02.2024 07:42"
"Muuli VKM","29.02.2024 07:35","883 μS/cm","545.57 NTU","11.72 mg/L","7.62","29.02.2024 07:37"
"Muuli VKM","29.02.2024 07:30","884 μS/cm","564.63 NTU","11.75 mg/L","7.62","29.02.2024 07:32"
"Muuli VKM","29.02.2024 07:25","884 μS/cm","593.84 NTU","11.73 mg/L","7.61","29.02.2024 07:27"
"Muuli VKM","29.02.2024 07:20","885 μS/cm","646.91 NTU","11.77 mg/L","7.62","29.02.2024 07:22"
"Muuli VKM","29.02.2024 07:15","885 μS/cm","821.23 NTU","11.78 mg/L","7.61","29.02.2024 07:22"
"Muuli VKM","29.02.2024 07:10","886 μS/cm","1459.91 NTU","11.78 mg/L","7.61","29.02.2024 07:12"
"Muuli VKM","29.02.2024 07:05","887 μS/cm","282.96 NTU","11.75 mg/L","7.61","29.02.2024 07:07"
"Muuli VKM","29.02.2024 07:00","885 μS/cm","222.66 NTU","11.66 mg/L","7.58","29.02.2024 07:02"
"Muuli VKM","29.02.2024 06:55","886 μS/cm","222.34 NTU","11.68 mg/L","7.58","29.02.2024 06:57"
"Muuli VKM","29.02.2024 06:50","886 μS/cm","222.31 NTU","11.67 mg/L","7.58","29.02.2024 06:52"
"Muuli VKM","29.02.2024 06:45","886 μS/cm","222.64 NTU","11.67 mg/L","7.58","29.02.2024 06:47"
"Muuli VKM","29.02.2024 06:40","886 μS/cm","223.12 NTU","11.65 mg/L","7.58","29.02.2024 06:42"
"Muuli VKM","29.02.2024 06:35","886 μS/cm","223.8 NTU","11.67 mg/L","7.58","29.02.2024 06:42"
"Muuli VKM","29.02.2024 06:30","886 μS/cm","224.43 NTU","11.66 mg/L","7.58","29.02.2024 06:32"
"Muuli VKM","29.02.2024 06:25","886 μS/cm","225.33 NTU","11.63 mg/L","7.58","29.02.2024 06:27"
"Muuli VKM","29.02.2024 06:20","886 μS/cm","226.58 NTU","11.68 mg/L","7.59","29.02.2024 06:22"
"Muuli VKM","29.02.2024 06:15","886 μS/cm","228.06 NTU","11.65 mg/L","7.59","29.02.2024 06:17"
"Muuli VKM","29.02.2024 06:10","886 μS/cm","229.52 NTU","11.64 mg/L","7.59","29.02.2024 06:12"
"Muuli VKM","29.02.2024 06:05","886 μS/cm","230.71 NTU","11.65 mg/L","7.59","29.02.2024 06:07"
"Muuli VKM","29.02.2024 06:00","886 μS/cm","231.52 NTU","11.66 mg/L","7.59","29.02.2024 06:02"
"Muuli VKM","29.02.2024 05:55","886 μS/cm","231.97 NTU","11.65 mg/L","7.59","29.02.2024 05:57"
"Muuli VKM","29.02.2024 05:50","885 μS/cm","232.2 NTU","11.68 mg/L","7.6","29.02.2024 05:52"
"Muuli VKM","29.02.2024 05:45","884 μS/cm","232.39 NTU","11.67 mg/L","7.6","29.02.2024 05:47"
"Muuli VKM","29.02.2024 05:40","883 μS/cm","232.97 NTU","11.66 mg/L","7.6","29.02.2024 05:42"
"Muuli VKM","29.02.2024 05:35","882 μS/cm","233.27 NTU","11.64 mg/L","7.6","29.02.2024 05:37"
"Muuli VKM","29.02.2024 05:30","881 μS/cm","233.59 NTU","11.65 mg/L","7.6","29.02.2024 05:32"
"Muuli VKM","29.02.2024 05:25","880 μS/cm","233.37 NTU","11.69 mg/L","7.6","29.02.2024 05:32"
"Muuli VKM","29.02.2024 05:20","878 μS/cm","232.31 NTU","11.67 mg/L","7.6","29.02.2024 05:22"
"Muuli VKM","29.02.2024 05:15","877 μS/cm","1748.06 NTU","11.7 mg/L","7.6","29.02.2024 05:17"
