"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","30.11.2023 13:35","0.04 m","86.77 m³/h","","30.11.2023 13:37"
"Muuli tee","30.11.2023 13:30","0.04 m","89.52 m³/h","","30.11.2023 13:32"
"Muuli tee","30.11.2023 13:25","0.04 m","91.71 m³/h","","30.11.2023 13:27"
"Muuli tee","30.11.2023 13:20","0.04 m","89.1 m³/h","","30.11.2023 13:22"
"Muuli tee","30.11.2023 13:15","0.04 m","91.71 m³/h","","30.11.2023 13:17"
"Muuli tee","30.11.2023 13:10","0.04 m","94.05 m³/h","","30.11.2023 13:12"
"Muuli tee","30.11.2023 13:05","0.04 m","91.71 m³/h","","30.11.2023 13:07"
"Muuli tee","30.11.2023 13:00","0.04 m","91.58 m³/h","","30.11.2023 13:02"
"Muuli tee","30.11.2023 12:55","0.04 m","86.77 m³/h","","30.11.2023 12:57"
"Muuli tee","30.11.2023 12:50","0.04 m","92.81 m³/h","","30.11.2023 12:52"
"Muuli tee","30.11.2023 12:45","0.04 m","91.58 m³/h","","30.11.2023 12:47"
"Muuli tee","30.11.2023 12:40","0.04 m","90.34 m³/h","","30.11.2023 12:42"
"Muuli tee","30.11.2023 12:35","0.04 m","98.72 m³/h","","30.11.2023 12:37"
"Muuli tee","30.11.2023 12:30","0.04 m","87.87 m³/h","","30.11.2023 12:32"
"Muuli tee","30.11.2023 12:25","0.04 m","94.05 m³/h","","30.11.2023 12:27"
"Muuli tee","30.11.2023 12:20","0.04 m","90.34 m³/h","","30.11.2023 12:22"
"Muuli tee","30.11.2023 12:15","0.04 m","88.97 m³/h","","30.11.2023 12:17"
"Muuli tee","30.11.2023 12:10","0.04 m","89.1 m³/h","","30.11.2023 12:12"
"Muuli tee","30.11.2023 12:05","0.04 m","92.95 m³/h","","30.11.2023 12:07"
"Muuli tee","30.11.2023 12:00","0.04 m","91.58 m³/h","","30.11.2023 12:02"
"Muuli tee","30.11.2023 11:55","0.04 m","91.44 m³/h","","30.11.2023 11:57"
"Muuli tee","30.11.2023 11:50","0.04 m","95.15 m³/h","","30.11.2023 11:52"
"Muuli tee","30.11.2023 11:45","0.04 m","96.39 m³/h","","30.11.2023 11:47"
"Muuli tee","30.11.2023 11:40","0.04 m","95.15 m³/h","","30.11.2023 11:42"
"Muuli tee","30.11.2023 11:35","0.04 m","95.29 m³/h","","30.11.2023 11:37"
"Muuli tee","30.11.2023 11:30","0.04 m","89.38 m³/h","","30.11.2023 11:32"
"Muuli tee","30.11.2023 11:25","0.04 m","91.71 m³/h","","30.11.2023 11:27"
"Muuli tee","30.11.2023 11:20","0.04 m","91.58 m³/h","","30.11.2023 11:22"
"Muuli tee","30.11.2023 11:15","0.04 m","91.71 m³/h","","30.11.2023 11:17"
